identifiant;titre;description;catégorie de produits google;catégorie;lien;lien image;état;disponibilité;prix;prix soldé;marque;gtin;mpn;livraison
3615;The insulated lunch box - MB Element metallic Silver;Fridge and microwaves are no longer needed: the MB Element bento box keeps food warm or cold up to 5 hours! Airtight and easy to carry, this insulated lunch box will follow you in all your adventures!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/insulated-bento-box-monbento-mb-element-silver.html;https://www.monbento.co.uk/media/resized/532/532//media/catalog/product/i/n/insulated-bento-lunch-box-isotherme.png;neuf;en stock;49,90 USD;;monbento;3760192682923;400001000;9,90 USD
4338;The insulated lunch box - MB Element black Onyx;Fridge and microwaves are no longer needed: the MB Element bento box keeps food warm or cold up to 5 hours! Airtight and easy to carry, this insulated lunch box will follow you in all your adventures!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/insulated-bento-box-mb-element-onyx.html;https://www.monbento.co.uk/media/resized/532/532//media/catalog/product/m/o/monbento-insulated-isotherme-lunch-box-bento.png;neuf;en stock;49,90 USD;;monbento;3760192682930;400001002;9,90 USD
4419;The insulated lunch box - MB Element pink Litchi;Fridge and microwaves are no longer needed: the MB Element bento box keeps food warm or cold up to 5 hours! Airtight and easy to carry, this insulated lunch box will follow you in all your adventures!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/insulated-bento-box-mb-element-litchi.html;https://www.monbento.com/media/wysiwyg/images-flux/monbento-insulated-isotherme-lunch-box-bento-crepe-pink-rose-rosa.jpg;neuf;en stock;49,90 USD;;monbento;3760192685207;25024002;9,90 USD
4678;The small insulated lunch box  - MB Capsule graphic Blossom;For a tasty treat at any time or place – whether a sweet or savoury snack, complete a meal or a delicious dessert – always be sure to hit the spot. With its ideal dimensions for small portions and its capacity to keep food hot or cold up to 5 hours (depending on contents and method of use), the MB Capsule small insulated lunch box is perfect for any meal or snack!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/small-insulated-bento-box-monbento-mb-capsule-flower-blossom.html;https://www.monbento.co.uk/media/resized/532/532//media/catalog/product/c/a/capsule-face-532px.png;neuf;en stock;29,90 USD;;monbento;3760192686754;400003102;9,90 USD
4612;The small insulated lunch box  - MB Capsule graphic Jungle;For a tasty treat at any time or place – whether a sweet or savoury snack, complete a meal or a delicious dessert – always be sure to hit the spot. With its ideal dimensions for small portions and its capacity to keep food hot or cold up to 5 hours (depending on contents and method of use), the MB Capsule small insulated lunch box is perfect for any meal or snack!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/small-insulated-lunch-box-mb-capsule-jungle.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/c/a/capsule-jungle-face.png;neuf;en stock;29,90 USD;;monbento;3760192686402;28010026;9,90 USD
4639;The to-go bowl - MB Lib pink Blush;Revolution! Bring your soup wherever you want without accident risks! Thanks to its lid which has a large screw thread and a silicon seal, the MB Lib bowl is 100% airtight! A good solution to vary your pleasures when having lunch at the office. And great news for those with a sweet tooth: cereals and other tasty drinks can be carried in the MB Lib! ;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/airtight-bowl-carry-soup-monbento-mb-lib-pink-blush.html;https://www.monbento.co.uk/media/resized/532/532//media/catalog/product/l/i/lib-blush-ferme-iso.png;neuf;en stock;21,90 USD;;monbento;3760192686655;28010026;9,90 USD
3493;The to-go bowl - MB Lib black Onyx;Revolution! Bring your soup wherever you want without accident risks! Thanks to its lid which has a large screw thread and a silicon seal, the MB Lib bowl is 100% airtight! A good solution to vary your pleasures when having lunch at the office. And great news for those with a sweet tooth: cereals and other tasty drinks can be carried in the MB Lib! ;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/mb-lib-black-airtight-bowl.html;https://www.monbento.co.uk/media/resized/532/532//media/catalog/product/m/o/monbento-mb-lib-bowl-soup-bol-scodella-schale-black_1.png;neuf;en stock;21,90 USD;;monbento;3760192682084;101103002;9,90 USD
4630;The kid’s bento box - MB Tresor graphic Bunny;At school, at the gym or outdoors: Kids can now eat wherever they want too thanks to the MB Tresor lunch box. This kids’ lunch box is specially designed for the little gourmets on-the-go and enables to protect, transport, and eat alone good complete meals. In addition, it is customizable!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/lunch-box-kids-bento-box-kids-monbento-mb-tresor-bunny.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/t/r/tresor-bunny-iso_2.png;neuf;en stock;24,90 USD;;monbento;3760192686761;17014012;9,90 USD
4631;The kid’s lunch box - MB Tresor pink Blush;At school, at the gym or outdoors: Kids can now eat wherever they want too thanks to the MB Tresor lunch box. This kids’ lunch box is specially designed for the little gourmets on-the-go and enables to protect, transport, and eat alone good complete meals. In addition, it is customizable!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/lunch-box-children-bento-box-children-monbento-mb-tresor-pink-blush.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/t/r/tresor-blush-iso_2.png;neuf;en stock;21,90 USD;;monbento;3760192686709;17010029;9,90 USD
4632;The kid’s bento box - MB Tresor blue Infinity;At school, at the gym or outdoors: Kids can now eat wherever they want too thanks to the MB Tresor lunch box. This kids’ lunch box is specially designed for the little gourmets on-the-go and enables to protect, transport, and eat alone good complete meals. In addition, it is customizable!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/lunch-box-kids-bento-box-kids-monbento-mb-tresor-blue-infinity.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/t/r/tresor-infinity-iso.png;neuf;en stock;21,90 USD;;monbento;3760192686693;17010028;9,90 USD
